id,file_name,gardiner_code,category,meaning
597,𓌠,T20,T,Var. of T19
598,𓌡,T21,T,Harpoon
599,𓌢,T22,T,Arrowhead
600,𓌣,T23,T,Var. of T22
601,𓌤,T24,T,Fishing net
602,𓌥,T25,T,Reed Float
603,𓌦,T26,T,Bird Trap
604,𓌧,T27,T,Var. of T26
605,𓌨,T28,T,Butcher’s block
606,𓌩,T29,T,Combination of T28 + T30
607,𓌪,T30,T,Knife
608,𓌫,T31,T,Knife sharpener
609,𓌬,T32,T,Combination of T31 + D54
610,𓌮,T33,T,Butcher’s knife sharpener
611,𓌰,T34,T,Butcher’s knife
612,𓌱,T35,T,Var. of T34
613,,,,
614,𓌳,U1,U,Sickle
615,𓌴,U2,U,Var. of U1
616,𓌵,U3,U,Combination of U1 + D4
617,𓌶,U4,U,Combination of U1 + Aa11
618,𓌷,U5,U,Var. of U4
619,𓌸,U6,U,Hoe
620,𓌻,U7,U,Var. of U6
621,𓌼,U8,U,Hoe
622,𓌽,U9,U,Grain measure with grain streaming outwards
623,𓌾,U10,U,Combination of U9 + M33
624,𓌿,U11,U,Combination of S38 + U9
625,𓍀,U12,U,Combination of D50 + U9
626,𓍁,U13,U,Plow
627,𓍂,U14,U,Two branches joined
628,𓍃,U15,U,Sled
629,𓍄,U16,U,Sled with jackal head bearing a load
630,𓍅,U17,U,Pick with pool
631,𓍆,U18,U,Var. U17
632,𓍇,U19,U,Adze
633,𓍈,U20,U,Var. of U19
634,𓍉,U21,U,Adze with wood block
635,𓍊,U22,U,Chisel
636,𓍋,U23,U,Chisel
637,𓍍,U24,U,Drill for stone
638,𓍎,U25,U,Var. of U24
639,𓍏,U26,U,Drill for beads
640,𓍐,U27,U,Var. of U26
641,𓍑,U28,U,Fire drill
642,𓍒,U29,U,Var. of U28
643,𓍔,U30,U,Kiln
644,𓍕,U31,U,Baker’s rake
645,𓍖,U32,U,Mortar and pestle
646,𓍘,U33,U,Pestle
647,𓍙,U34,U,Spindle
648,𓍚,U35,U,Combination of U34 + I9
649,𓍛,U36,U,Club used in washing
650,𓍜,U37,U,Razor
651,𓍝,U38,U,Scale
652,𓍞,U39,U,Scale post
653,𓍟,U40,U,Var. of U39
654,𓍠,U41,U,Plumb bob
655,,,,
656,𓍢,V1,V,Rope coil
657,𓍬,V2,V,Combination of V1 + O34
658,𓍮,V3,V,"Same as V2, but with two additional coils"
659,𓍯,V4,V,Lasso
660,𓍰,V5,V,Looped rope
661,𓍱,V6,V,Cord with loop facing downwards
662,𓍲,V7,V,Cord with loop facing upwards
663,𓍴,V8,V,Var. of V7
664,𓍶,V9,V,Round cartouche
665,𓍷,V10,V,Oval cartouche
666,𓍸,V11,V,End of cartouche
667,𓍼,V12,V,String
668,𓍿,V13,V,Tethering rope
669,𓎀,V14,V,Var. of V13
670,𓎁,V15,V,Combination of V13 and D54
671,𓎂,V16,V,Hobble for cattle
672,𓎃,V17,V,Herdsman’s shelter
673,𓎄,V18,V,Var. of V17
674,𓎅,V19,V,Hobble for cattle
675,𓎆,V20,V,Hobble for cattle sans crossbar
676,𓎓,V21,V,Combination of V20 + I10
677,𓎔,V22,V,Whip
678,𓎕,V23,V,Var. of V22
679,𓎗,V24,V,Cord on Stick
680,𓎘,V25,V,Var. of V24
681,𓎙,V26,V,Spool with thread
682,𓎚,V27,V,Var. of V26
683,𓎛,V28,V,Wick
684,𓎝,V29,V,Swab
685,𓎟,V30,V,Basket
686,𓎡,V31,V,Basket with handle
687,𓎢,V31a,V,V31 reversed
688,𓎣,V32,V,Wicker satchel
689,𓎤,V33,V,Linen bag
690,𓎥,V34,V,Var. of V33
691,𓎧,V35,V,Var. of V33
692,𓎨,V36,V,Receptacle
693,𓎩,V37,V,Bandage
694,𓎫,V38,V,Bandage
695,𓎬,V39,V,Tie
696,,,,
697,𓎯,W1,W,Oil jar
698,𓎰,W2,W,Oil jar without ties
699,𓎱,W3,W,Alabaster basin
700,𓎳,W4,W,Combination of W3 + O22
701,𓎴,W5,W,Combination of W3 + T28
702,𓎵,W6,W,Vessel
703,𓎶,W7,W,Granite bowl
704,𓎷,W8,W,Var. of W7
705,𓎸,W9,W,Stone jug
706,𓎺,W10,W,Cup
707,𓎻,W10a,W,Pot
708,𓎼,W11,W,Ring stand
709,𓎽,W12,W,Ring stand
710,𓎾,W13,W,Pot
711,𓎿,W14,W,Tall jar
712,𓏁,W15,W,Tall jar with water
713,𓏂,W16,W,Combination of W15 + W12
714,𓏃,W17,W,Tall jars in rack.
715,𓏅,W18,W,Var. W17
716,𓏇,W19,W,Milk jug
717,𓏈,W20,W,Milk jug with leaf
718,𓏉,W21,W,Wine jars
719,𓏊,W22,W,Beer jugs
720,𓏋,W23,W,Jug with handles
721,𓏌,W24,W,Bowl
722,𓏎,W25,W,Combination of W24 + legs
723,,,,
